stations,latitude,longitude,energy zone
92100,59.1407,12.9336,SE3
96210,59.3221,16.5577,SE3
73680,57.4666,13.2139,SE3
98260,59.4166,18.1666,SE3
94170,59.283,14.6902,SE3
73690,57.9331,13.1805,SE3
94180,59.3102,14.0994,SE3
96230,59.385,16.4598,SE3
98290,59.5052,18.8417,SE3
94200,59.3279,14.5485,SE3
86010,58.019,16.0776,SE3
105285,60.4878,15.4297,SE3
71415,57.6879,11.9796,SE3
93235,59.3591,13.4719,SE3
81525,58.892,11.0038,SE3
86655,58.5824,16.1485,SE3
98735,59.3534,18.0634,SE3
99275,59.4422,19.502,SE3
78645,57.6727,18.3448,SE3
77215,57.3673,17.0987,SE3
